	出会い系アフィリエイトサイト	1,200万円	900,000円	31,000円	869,000円	15,000	-	2017-07-01
	地域密着のリフォーム会社の集客サイト	800万円	1,000,000円	755,000円	245,000円	3,000	件	2017-06-30
	芸能関連情報ブログ	1,000万円	540,000円	32,425円	507,575円	1,000,000	-	2017-06-29
	【価格変更】エンタメネタ中心のトレンドブログ	14万円	10,932円	4,130円	6,802円	42,082	9件	2017-09-13
	テレビドラマの概要や感想を載せるサイト	20万円	0円	1,000円	-1,000円	2,989	2件	2017-09-29
	ニキビ跡化粧水リプロスキンを中心としたランキングサイト	5万円	0円	1,050円	-1,050円	350	4件	2017-09-26
	【価格変更】人気ゲームシリーズのまとめブログ	20万円	9,600円	415円	9,185円	51,397	7件	2017-09-25
	WEB制作を安価で受注するサイト	24万円	100,000円	1,000円	99,000円	4,000	3件	2017-09-24
	【価格変更】ゴルフレッスンDVDのレビューサイト	45万円	21,000円	1,500円	19,500円	1,100	件	2017-08-28
	男性用化粧品の比較サイト	20万円	8,333円	306円	8,027円	1,700	6件	2017-09-19
	漫画のネタバレサイト	50万円	59,000円	1,000円	58,000円	60,000	5件	2017-09-17
	【価格変更】トレーニング用シャツの販売サイト	250万円	8,800,000円	7,570,000円	1,230,000円	414,293	-	2017-08-14
	実体験に基づいた看護師転職比較サイト	100万円	50,000円	2,500円	47,500円	20,000	2件	2017-09-14
	テレビ番組やグルメ、ニュースについてのブログ	55万円	55,000円	1,000円	54,000円	616,880	7件	2017-09-12
	ダイエット・美容商品として扱われることの多い「コンブチャ」に関するサイト	900万円	1,178,443円	1,980円	1,176,463円	65,558	11件	2017-09-12
	【価格変更】キャッシングの登録促進のサイト	50万円	40,000円	1,080円	38,920円	1,000	13件	2017-09-11
	ダイエット関連の商品の体験談を中心に書いているサイト	1,800万円	2,496,000円	1,187円	2,494,813円	-	11件	2017-09-08
	LINEミュージックに関するアフィリエイトサイト	15万円	0円	1,000円	-1,000円	1,074	-	2017-09-07
	アンチエイジングの情報発信サイト	300万円	100,000円	500円	99,500円	100,000	-	2017-09-07
	アイスブレイクのネタや研修を扱うサイト	800万円	200,000円	450円	199,550円	220,000	-	2017-09-07
	【価格変更】婚活アプリおよび結婚相談所を紹介するサイト	50万円	17,526円	59円	17,467円	6,446	19件	2017-08-22
	怒りを投稿するユーザー投稿型サイト	8万円	0円	1,000円	-1,000円	250	-	2017-09-04
	相談者と弁護士をマッチングするプラットフォーム	100万円	0円	1,000円	-1,000円	1,321	件	2017-09-02
	美容とアンチエイジングに関するブログ	30万円	0円	1,000円	-1,000円	16,037	20件	2017-10-29
	債務整理と闇金相談のサイト（2サイトセット）	170万円	145,000円	1,000円	144,000円	9,503	12件	2017-10-27
	特定ジャンルの芸能人にしぼったブログ	15万円	1,431円	260円	1,171円	6,716	2件	2017-10-27
	ドラマに特化したサイト	15万円	801円	260円	541円	2,493	5件	2017-10-27
	芸能人や著名人を中心としたエンタメブログ	30万円	5,184円	591円	4,593円	15,383	2件	2017-10-27
	依存症の治し方に関する情報サイト	20万円	10,040円	1,000円	9,040円	2,470	1件	2017-10-26
	肌トラブルに関連する美容ブログ	100万円	50,000円	1,187円	48,813円	5,992	6件	2017-10-24
	【価格変更】ふるさと納税の紹介サイト	690万円	350,000円	1,195円	348,805円	49,889	5件	2017-10-17
	株式投資の初心者向け情報サイト	5万円	250円	1,080円	-830円	-	5件	2017-10-18
	健康・美容系のブログ	240万円	99,507円	757円	98,750円	201,528	9件	2017-10-17
	仮想通貨の活用法に関するブログ	28万円	10,000円	300円	9,700円	4,900	20件	2017-10-15
	【価格変更】債務整理に関するアフィリエイトサイト	15万円	6,000円	1,000円	5,000円	1,287	5件	2017-10-05
	効果的なダイエット法をまとめたブログ	500万円	244,513円	1,000円	243,513円	579,665	7件	2017-10-11
	40代男性の筋トレについての情報サイト	35万円	15,000円	1,000円	14,000円	6,622	2件	2017-10-08
	健康や美容全般に関する情報サイト	2,500万円	5,000,000円	1,000円	4,999,000円	150,000	8件	2017-10-06
	時事ニュースを配信しているニュースサイト	300万円	378,000円	1,200円	376,800円	890,000	11件	2017-10-06
	男性器の悩みに関するサイト	34万円	18,000円	1,000円	17,000円	7,900	7件	2017-10-05
	【価格変更】職種に特化した転職ジャンルのアフィリエイトサイト	200万円	98,410円	648円	97,762円	12,374	3件	2017-10-02
	ぽっちゃりさんのための婚活サイト	10万円	0円	540円	-540円	100	2件	2017-10-04
	デートのテクニックやファッション指南のサイト	40万円	42,250円	250円	42,000円	73,324	6件	2017-10-02
	美容・ダイエットを中心とした女性向け情報サイト	15万円	5,363円	1,180円	4,185円	8,531	4件	2017-11-16
	成人男性向け恋愛ノウハウの情報サイト	180万円	0円	1,100円	-1,100円	120,622	4件	2017-11-16
	【価格変更】お金に関する情報サイト	50万円	29,449円	1,195円	28,454円	3,884	15件	2017-11-06
